UIAutomation 1.1.8 (Python 3.6.5, 64 bit)
2018-10-24 14:36:30.355 Function: main, Line: 78 -> Starts, Current Cursor Position: (1122, 468)
ControlType: PaneControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (0, 0, 1920, 1040)    Name: Wondershare Filmora 9    Handle: 0x101A7E(1055358)    Depth: 0
    ControlType: PaneControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (670, 388, 1230, 573)    Name: Wondershare Filmora 9    Handle: 0xD1A56(858710)    Depth: 1
        ControlType: CustomControl    ClassName:     AutomationId:     Rect: (671, 389, 1229, 420)    Name:     Handle: 0x0(0)    Depth: 2
            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (671, 389, 1229, 420)    Name:     Handle: 0x0(0)    Depth: 3
                ControlType: TextControl    ClassName:     AutomationId:     Rect: (673, 391, 1231, 418)    Name: Wondershare Filmora 9    Handle: 0x0(0)    Depth: 4
                ControlType: TextControl    ClassName:     AutomationId:     Rect: (671, 389, 677, 403)    Name:     Handle: 0x0(0)    Depth: 4
                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1196, 391, 1227, 418)    Name:     Handle: 0x0(0)    Depth: 4
        ControlType: CustomControl    ClassName:     AutomationId:     Rect: (671, 419, 1229, 568)    Name:     Handle: 0x0(0)    Depth: 2
            ControlType: TextControl    ClassName:     AutomationId:     Rect: (701, 449, 735, 493)    Name:     Handle: 0x0(0)    Depth: 3
            ControlType: EditControl    ClassName:     AutomationId:     Rect: (763, 454, 1209, 488)    Name:     Handle: 0x0(0)    Depth: 3    Value: project is modify, do you want to save project?
                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (763, 454, 1209, 488)    Name:     Handle: 0x0(0)    Depth: 4
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (895, 520, 993, 548)    Name: YES Enter    Handle: 0x0(0)    Depth: 3
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1003, 520, 1101, 548)    Name: NO    Handle: 0x0(0)    Depth: 3
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1111, 520, 1209, 548)    Name: CANCEL    Handle: 0x0(0)    Depth: 3
    ControlType: SplitButtonControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (0, 31, 1920, 1039)    Name:     Handle: 0x141994(1317268)    Depth: 1
        ControlType: ThumbControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (0, 716, 1920, 720)    Name:     Handle: 0x1019CC(1055180)    Depth: 2
        ControlType: PaneControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (0, 31, 1920, 716)    Name:     Handle: 0x31196A(3217770)    Depth: 2
            ControlType: SplitButtonControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (0, 31, 1920, 716)    Name:     Handle: 0x2B1820(2824224)    Depth: 3
                ControlType: ThumbControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (958, 31, 962, 716)    Name:     Handle: 0x5604A6(5637286)    Depth: 4
